Ranks,NITER,N,MFlops,Time
72,1000000,1000,50497.75,39.61
144,1000000,1000,28719.97,69.64
216,1000000,1000,11371.28,175.88
288,1000000,1000,14335.14,139.52
72,100000,4000,180590.76,17.72
144,100000,4000,269890.39,11.86
216,100000,4000,139052.26,23.01
288,100000,4000,195457.70,16.37
72,10000,10000,88119.64,22.70
144,10000,10000,173147.68,11.55
216,10000,10000,233132.91,8.58
288,10000,10000,435517.21,4.59
72,5000,20000,80620.49,49.62
144,5000,20000,161742.69,24.73
216,5000,20000,223151.70,17.93
288,5000,20000,309277.58,12.93
