Ranks,NITER,N,MFlops,Time
18,1000000,1000,89132.14,22.44
36,1000000,1000,82531.84,24.23
54,1000000,1000,45667.41,43.79
72,1000000,1000,49820.79,40.14
18,100000,4000,24636.69,129.89
36,100000,4000,74735.52,42.82
54,100000,4000,137798.28,23.22
72,100000,4000,180433.06,17.74
18,10000,10000,20040.42,99.80
36,10000,10000,41569.34,48.11
54,10000,10000,66861.91,29.91
72,10000,10000,88901.89,22.50
18,5000,20000,20206.76,197.95
36,5000,20000,39142.19,102.19
54,5000,20000,59679.35,67.02
72,5000,20000,80646.70,49.60
