Ranks,NITER,N,MFlops,Time
11,5000,20000,17877.02,223.75
1,5000,20000,3745.64,1067.91
2,5000,20000,7705.49,519.11
3,5000,20000,11966.72,334.26
4,5000,20000,14461.09,276.60
5,5000,20000,16541.90,241.81
6,5000,20000,17551.73,227.90
7,5000,20000,17917.17,223.25
8,5000,20000,18586.66,215.21
9,5000,20000,18880.11,211.86
10,5000,20000,19010.40,210.41
11,5000,20000,19446.28,205.69
12,5000,20000,19808.81,201.93
13,5000,20000,19989.36,200.11
14,5000,20000,20287.02,197.17
15,5000,20000,20441.30,195.68
16,5000,20000,20435.43,195.74
17,5000,20000,20413.09,195.95
18,5000,20000,20234.33,197.68
