Ranks,NITER,N,MFlops,Time
72,1000000,1000,45853.23,43.62
144,1000000,1000,24916.81,80.27
216,1000000,1000,11060.45,180.82
288,1000000,1000,12076.68,165.61
72,100000,4000,180025.78,17.78
144,100000,4000,268862.06,11.90
216,100000,4000,133126.79,24.04
288,100000,4000,177904.01,17.99
72,10000,10000,88670.66,22.56
144,10000,10000,163355.71,12.24
216,10000,10000,219430.75,9.11
288,10000,10000,423982.43,4.72
72,5000,20000,79502.59,50.31
144,5000,20000,154769.97,25.84
216,5000,20000,226457.72,17.66
288,5000,20000,304452.42,13.14
