Ranks,NITER,N,MFlops,Time
72,1000000,1000,44702.03,44.74
144,1000000,1000,24634.69,81.19
216,1000000,1000,9968.22,200.64
288,1000000,1000,12472.64,160.35
72,100000,4000,191135.75,16.74
144,100000,4000,259853.48,12.31
216,100000,4000,143144.14,22.36
288,100000,4000,174459.43,18.34
72,10000,10000,89875.33,22.25
144,10000,10000,173535.22,11.53
216,10000,10000,217318.17,9.20
288,10000,10000,430257.43,4.65
72,5000,20000,80293.18,49.82
144,5000,20000,164701.91,24.29
216,5000,20000,224675.54,17.80
288,5000,20000,311455.27,12.84
