Ranks,NITER,N,MFlops,Time
18,1000000,1000,104190.35,19.20
36,1000000,1000,81733.88,24.47
54,1000000,1000,42425.15,47.14
72,1000000,1000,44864.92,44.58
18,100000,4000,24582.26,130.18
36,100000,4000,73177.45,43.73
54,100000,4000,137080.25,23.34
72,100000,4000,190703.06,16.78
18,10000,10000,19970.79,100.15
36,10000,10000,41265.22,48.47
54,10000,10000,66378.04,30.13
72,10000,10000,88417.06,22.62
18,5000,20000,20192.50,198.09
36,5000,20000,39115.91,102.26
54,5000,20000,59465.84,67.27
72,5000,20000,79637.71,50.23
