Ranks,NITER,N,MFlops,Time
18,1000000,1000,101185.59,19.77
36,1000000,1000,82081.47,24.37
54,1000000,1000,42166.90,47.43
72,1000000,1000,45891.49,43.58
18,100000,4000,24270.09,131.85
36,100000,4000,75130.84,42.59
54,100000,4000,137439.11,23.28
72,100000,4000,185746.01,17.23
18,10000,10000,19918.87,100.41
36,10000,10000,41343.38,48.38
54,10000,10000,66281.11,30.17
72,10000,10000,86921.32,23.01
18,5000,20000,20160.54,198.41
36,5000,20000,39161.93,102.14
54,5000,20000,59387.05,67.35
72,5000,20000,79576.69,50.27
