Ranks,NITER,N,MFlops,Time
1,1000000,1000,7195.07,277.97
2,1000000,1000,11398.80,175.46
3,1000000,1000,17287.09,115.69
4,1000000,1000,21139.35,94.61
5,1000000,1000,36179.50,55.28
6,1000000,1000,44568.62,44.87
7,1000000,1000,52709.26,37.94
8,1000000,1000,58300.60,34.30
9,1000000,1000,67057.79,29.83
10,1000000,1000,74664.90,26.79
11,1000000,1000,69540.45,28.76
12,1000000,1000,70627.47,28.32
13,1000000,1000,68126.50,29.36
14,1000000,1000,89295.06,22.40
15,1000000,1000,72828.30,27.46
16,1000000,1000,67390.65,29.68
17,1000000,1000,62015.46,32.25
18,1000000,1000,97315.54,20.55
1,100000,4000,4043.15,791.46
2,100000,4000,7815.17,409.46
3,100000,4000,12027.67,266.05
4,100000,4000,14615.17,218.95
5,100000,4000,15992.36,200.10
6,100000,4000,16917.27,189.16
7,100000,4000,17245.07,185.56
8,100000,4000,17515.61,182.69
9,100000,4000,18234.72,175.49
10,100000,4000,19261.86,166.13
11,100000,4000,19230.28,166.40
12,100000,4000,19652.48,162.83
13,100000,4000,20654.20,154.93
14,100000,4000,22030.95,145.25
15,100000,4000,22973.39,139.29
16,100000,4000,23256.77,137.59
17,100000,4000,24044.96,133.08
18,100000,4000,24592.71,130.12
1,10000,10000,3906.03,512.03
2,10000,10000,7612.36,262.73
3,10000,10000,11634.14,171.91
4,10000,10000,14049.87,142.35
5,10000,10000,15295.40,130.76
6,10000,10000,16385.37,122.06
7,10000,10000,16710.43,119.69
8,10000,10000,16735.36,119.51
9,10000,10000,17279.05,115.75
10,10000,10000,17746.99,112.70
11,10000,10000,17557.92,113.91
12,10000,10000,18158.22,110.14
13,10000,10000,18965.30,105.46
14,10000,10000,19551.29,102.30
15,10000,10000,19822.60,100.89
16,10000,10000,19817.16,100.92
17,10000,10000,20129.76,99.36
18,10000,10000,19911.29,100.45
1,5000,20000,3777.26,1058.97
2,5000,20000,7721.11,518.06
3,5000,20000,11873.44,336.89
4,5000,20000,14209.22,281.51
5,5000,20000,15597.60,256.45
6,5000,20000,16773.14,238.48
7,5000,20000,17189.71,232.70
8,5000,20000,17258.22,231.77
9,5000,20000,17700.68,225.98
10,5000,20000,17995.09,222.28
11,5000,20000,17840.69,224.21
12,5000,20000,18503.49,216.18
13,5000,20000,19286.85,207.40
14,5000,20000,20001.57,199.98
15,5000,20000,20296.67,197.08
16,5000,20000,20364.68,196.42
17,5000,20000,20365.54,196.41
18,5000,20000,20153.00,198.48
