Ranks,NITER,N,MFlops,Time
1,1000000,1000,7195.03,277.97
2,1000000,1000,11932.43,167.61
3,1000000,1000,17354.70,115.24
4,1000000,1000,21334.56,93.74
5,1000000,1000,36041.40,55.49
6,1000000,1000,42733.97,46.80
7,1000000,1000,53773.11,37.19
8,1000000,1000,59087.20,33.85
9,1000000,1000,67500.64,29.63
10,1000000,1000,57149.68,35.00
11,1000000,1000,70396.66,28.41
12,1000000,1000,72458.82,27.60
13,1000000,1000,68425.70,29.23
14,1000000,1000,93865.47,21.31
15,1000000,1000,76504.23,26.14
16,1000000,1000,65504.72,30.53
17,1000000,1000,53138.56,37.64
18,1000000,1000,95859.89,20.86
1,100000,4000,4062.68,787.66
2,100000,4000,7954.05,402.31
3,100000,4000,11929.32,268.25
4,100000,4000,14456.53,221.35
5,100000,4000,16258.60,196.82
6,100000,4000,16945.33,188.84
7,100000,4000,17574.89,182.08
8,100000,4000,18348.62,174.40
9,100000,4000,18798.03,170.23
10,100000,4000,19836.45,161.32
11,100000,4000,19795.78,161.65
12,100000,4000,20279.56,157.79
13,100000,4000,21010.28,152.31
14,100000,4000,21314.16,150.13
15,100000,4000,21888.93,146.19
16,100000,4000,22198.75,144.15
17,100000,4000,22504.93,142.19
18,100000,4000,23010.19,139.07
1,10000,10000,3924.14,509.67
2,10000,10000,7609.50,262.83
3,10000,10000,11715.42,170.72
4,10000,10000,14125.05,141.59
5,10000,10000,15751.96,126.97
6,10000,10000,16777.61,119.21
7,10000,10000,17173.58,116.46
8
9
10
11
12
13
14
15
16
17
18
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
