RANK 0: imaxLocal : 100, jmaxLocal : 100
Parameters:
Geometry data:
	Domain box size (x, y): 1.000000e+00, 1.000000e+00
	Cells (x, y): 100, 100
Iterative solver parameters:
	Max iterations: 1000000
	epsilon (stopping tolerance) : 1.000000e-06
	omega (SOR relaxation): 1.900000e+00
0 Residuum: 3.866141e+06
1 Residuum: 3.277795e+06
2 Residuum: 2.798919e+06
3 Residuum: 2.395157e+06
4 Residuum: 2.053272e+06
5 Residuum: 1.763264e+06
6 Residuum: 1.517209e+06
7 Residuum: 1.308532e+06
8 Residuum: 1.131609e+06
9 Residuum: 9.815661e+05
10 Residuum: 8.541816e+05
11 Residuum: 7.458257e+05
12 Residuum: 6.534044e+05
13 Residuum: 5.743041e+05
14 Residuum: 5.063332e+05
15 Residuum: 4.476649e+05
16 Residuum: 3.967838e+05
17 Residuum: 3.524372e+05
18 Residuum: 3.135927e+05
19 Residuum: 2.794014e+05
20 Residuum: 2.491668e+05
21 Residuum: 2.223177e+05
22 Residuum: 1.983859e+05
23 Residuum: 1.769869e+05
24 Residuum: 1.578043e+05
25 Residuum: 1.405762e+05
26 Residuum: 1.250841e+05
27 Residuum: 1.111444e+05
28 Residuum: 9.860107e+04
29 Residuum: 8.731970e+04
30 Residuum: 7.718315e+04
31 Residuum: 6.808789e+04
32 Residuum: 5.994128e+04
33 Residuum: 5.265953e+04
34 Residuum: 4.616606e+04
35 Residuum: 4.039039e+04
36 Residuum: 3.526728e+04
37 Residuum: 3.073614e+04
38 Residuum: 2.674060e+04
39 Residuum: 2.322820e+04
40 Residuum: 2.015017e+04
41 Residuum: 1.746129e+04
42 Residuum: 1.511974e+04
43 Residuum: 1.308697e+04
44 Residuum: 1.132761e+04
45 Residuum: 9.809369e+03
46 Residuum: 8.502866e+03
47 Residuum: 7.381532e+03
48 Residuum: 6.421453e+03
49 Residuum: 5.601217e+03
50 Residuum: 4.901757e+03
51 Residuum: 4.306182e+03
52 Residuum: 3.799612e+03
53 Residuum: 3.369004e+03
54 Residuum: 3.002995e+03
55 Residuum: 2.691731e+03
56 Residuum: 2.426717e+03
57 Residuum: 2.200667e+03
58 Residuum: 2.007366e+03
59 Residuum: 1.841536e+03
60 Residuum: 1.698723e+03
61 Residuum: 1.575184e+03
62 Residuum: 1.467785e+03
63 Residuum: 1.373920e+03
64 Residuum: 1.291423e+03
65 Residuum: 1.218507e+03
66 Residuum: 1.153696e+03
67 Residuum: 1.095777e+03
68 Residuum: 1.043752e+03
69 Residuum: 9.967993e+02
70 Residuum: 9.542436e+02
71 Residuum: 9.155253e+02
72 Residuum: 8.801797e+02
73 Residuum: 8.478178e+02
74 Residuum: 8.181112e+02
75 Residuum: 7.907799e+02
76 Residuum: 7.655827e+02
77 Residuum: 7.423093e+02
78 Residuum: 7.207742e+02
79 Residuum: 7.008126e+02
80 Residuum: 6.822764e+02
81 Residuum: 6.650316e+02
82 Residuum: 6.489566e+02
83 Residuum: 6.339403e+02
84 Residuum: 6.198813e+02
85 Residuum: 6.066867e+02
86 Residuum: 5.942719e+02
87 Residuum: 5.825595e+02
88 Residuum: 5.714794e+02
89 Residuum: 5.609679e+02
90 Residuum: 5.509676e+02
91 Residuum: 5.414269e+02
92 Residuum: 5.322997e+02
93 Residuum: 5.235446e+02
94 Residuum: 5.151254e+02
95 Residuum: 5.070096e+02
96 Residuum: 4.991689e+02
97 Residuum: 4.915783e+02
98 Residuum: 4.842160e+02
99 Residuum: 4.770628e+02
100 Residuum: 4.701021e+02
101 Residuum: 4.633204e+02
102 Residuum: 4.567060e+02
103 Residuum: 4.502479e+02
104 Residuum: 4.439361e+02
105 Residuum: 4.377616e+02
106 Residuum: 4.317160e+02
107 Residuum: 4.257918e+02
108 Residuum: 4.199821e+02
109 Residuum: 4.142807e+02
110 Residuum: 4.086817e+02
111 Residuum: 4.031799e+02
112 Residuum: 3.977706e+02
113 Residuum: 3.924494e+02
114 Residuum: 3.872125e+02
115 Residuum: 3.820562e+02
116 Residuum: 3.769773e+02
117 Residuum: 3.719730e+02
118 Residuum: 3.670405e+02
119 Residuum: 3.621775e+02
120 Residuum: 3.573817e+02
121 Residuum: 3.526512e+02
122 Residuum: 3.479841e+02
123 Residuum: 3.433788e+02
124 Residuum: 3.388337e+02
125 Residuum: 3.343474e+02
126 Residuum: 3.299186e+02
127 Residuum: 3.255461e+02
128 Residuum: 3.212288e+02
129 Residuum: 3.169656e+02
130 Residuum: 3.127555e+02
131 Residuum: 3.085977e+02
132 Residuum: 3.044913e+02
133 Residuum: 3.004355e+02
134 Residuum: 2.964295e+02
135 Residuum: 2.924726e+02
136 Residuum: 2.885642e+02
137 Residuum: 2.847035e+02
138 Residuum: 2.808900e+02
139 Residuum: 2.771231e+02
140 Residuum: 2.734022e+02
141 Residuum: 2.697268e+02
142 Residuum: 2.660963e+02
143 Residuum: 2.625103e+02
144 Residuum: 2.589682e+02
145 Residuum: 2.554695e+02
146 Residuum: 2.520137e+02
147 Residuum: 2.486005e+02
148 Residuum: 2.452294e+02
149 Residuum: 2.418998e+02
150 Residuum: 2.386115e+02
151 Residuum: 2.353639e+02
152 Residuum: 2.321566e+02
153 Residuum: 2.289892e+02
154 Residuum: 2.258613e+02
155 Residuum: 2.227726e+02
156 Residuum: 2.197225e+02
157 Residuum: 2.167107e+02
158 Residuum: 2.137369e+02
159 Residuum: 2.108005e+02
160 Residuum: 2.079013e+02
161 Residuum: 2.050389e+02
162 Residuum: 2.022128e+02
163 Residuum: 1.994226e+02
164 Residuum: 1.966681e+02
165 Residuum: 1.939489e+02
166 Residuum: 1.912645e+02
167 Residuum: 1.886145e+02
168 Residuum: 1.859988e+02
169 Residuum: 1.834168e+02
170 Residuum: 1.808682e+02
171 Residuum: 1.783526e+02
172 Residuum: 1.758698e+02
173 Residuum: 1.734192e+02
174 Residuum: 1.710007e+02
175 Residuum: 1.686138e+02
176 Residuum: 1.662581e+02
177 Residuum: 1.639334e+02
178 Residuum: 1.616393e+02
179 Residuum: 1.593754e+02
180 Residuum: 1.571415e+02
181 Residuum: 1.549371e+02
182 Residuum: 1.527619e+02
183 Residuum: 1.506156e+02
184 Residuum: 1.484979e+02
185 Residuum: 1.464084e+02
186 Residuum: 1.443468e+02
187 Residuum: 1.423128e+02
188 Residuum: 1.403061e+02
189 Residuum: 1.383263e+02
190 Residuum: 1.363731e+02
191 Residuum: 1.344462e+02
192 Residuum: 1.325453e+02
193 Residuum: 1.306701e+02
194 Residuum: 1.288203e+02
195 Residuum: 1.269955e+02
196 Residuum: 1.251955e+02
197 Residuum: 1.234199e+02
198 Residuum: 1.216685e+02
199 Residuum: 1.199410e+02
200 Residuum: 1.182371e+02
201 Residuum: 1.165564e+02
202 Residuum: 1.148987e+02
203 Residuum: 1.132638e+02
204 Residuum: 1.116512e+02
205 Residuum: 1.100609e+02
206 Residuum: 1.084923e+02
207 Residuum: 1.069454e+02
208 Residuum: 1.054198e+02
209 Residuum: 1.039153e+02
210 Residuum: 1.024315e+02
211 Residuum: 1.009682e+02
212 Residuum: 9.952525e+01
213 Residuum: 9.810225e+01
214 Residuum: 9.669900e+01
215 Residuum: 9.531523e+01
216 Residuum: 9.395070e+01
217 Residuum: 9.260516e+01
218 Residuum: 9.127835e+01
219 Residuum: 8.997005e+01
