Ranks,DomainSize,Omega,SolverType,Iterations,Convergence,Walltime,TestTag
1,100,1.1,STD,26867,0.000001,2.82,A_Scalability
1,100,1.1,RB,26870,0.000001,0.59,A_Scalability
2,100,1.1,STD,26963,0.000001,1.47,A_Scalability
2,100,1.1,RB,26870,0.000001,0.36,A_Scalability
4,100,1.1,STD,27256,0.000001,0.79,A_Scalability
4,100,1.1,RB,26870,0.000001,0.25,A_Scalability
8,100,1.1,STD,27808,0.000001,0.47,A_Scalability
8,100,1.1,RB,26806,0.000001,0.20,A_Scalability
16,100,1.1,STD,29037,0.000001,0.30,A_Scalability
16,100,1.1,RB,26857,0.000001,0.16,A_Scalability
32,100,1.1,STD,31529,0.000001,0.25,A_Scalability
32,100,1.1,RB,26992,0.000001,0.17,A_Scalability
64,100,1.1,STD,35918,0.000001,0.35,A_Scalability
64,100,1.1,RB,26458,0.000001,0.30,A_Scalability
72,100,1.1,STD,37162,0.000001,0.45,A_Scalability
72,100,1.1,RB,26457,0.000001,0.43,A_Scalability
1,200,1.1,STD,106635,0.000001,46.55,A_Scalability
1,200,1.1,RB,106639,0.000001,9.23,A_Scalability
2,200,1.1,STD,106823,0.000001,23.47,A_Scalability
2,200,1.1,RB,106639,0.000001,4.87,A_Scalability
4,200,1.1,STD,107411,0.000001,11.98,A_Scalability
4,200,1.1,RB,106639,0.000001,2.74,A_Scalability
8,200,1.1,STD,108639,0.000001,6.23,A_Scalability
8,200,1.1,RB,106639,0.000001,1.64,A_Scalability
16,200,1.1,STD,110777,0.000001,3.48,A_Scalability
16,200,1.1,RB,106352,0.000001,1.12,A_Scalability
32,200,1.1,STD,115710,0.000001,2.15,A_Scalability
32,200,1.1,RB,106569,0.000001,0.84,A_Scalability
64,200,1.1,STD,125675,0.000001,1.79,A_Scalability
64,200,1.1,RB,107086,0.000001,1.01,A_Scalability
72,200,1.1,STD,126516,0.000001,1.54,A_Scalability
72,200,1.1,RB,105257,0.000001,1.07,A_Scalability
1,300,1.1,STD,239289,0.000001,238.11,A_Scalability
1,300,1.1,RB,239293,0.000001,47.44,A_Scalability
2,300,1.1,STD,239570,0.000001,119.35,A_Scalability
2,300,1.1,RB,239293,0.000001,24.27,A_Scalability
4,300,1.1,STD,240451,0.000001,60.38,A_Scalability
4,300,1.1,RB,239293,0.000001,12.94,A_Scalability
8,300,1.1,STD,242151,0.000001,31.22,A_Scalability
8,300,1.1,RB,239147,0.000001,7.25,A_Scalability
16,300,1.1,STD,245800,0.000001,16.31,A_Scalability
16,300,1.1,RB,239117,0.000001,4.32,A_Scalability
32,300,1.1,STD,252326,0.000001,9.25,A_Scalability
32,300,1.1,RB,238519,0.000001,2.92,A_Scalability
64,300,1.1,STD,263647,0.000001,5.93,A_Scalability
64,300,1.1,RB,235603,0.000001,2.71,A_Scalability
72,300,1.1,STD,271531,0.000001,5.77,A_Scalability
72,300,1.1,RB,240015,0.000001,2.60,A_Scalability
1,400,1.1,STD,424829,0.000001,756.11,A_Scalability
1,400,1.1,RB,424833,0.000001,148.72,A_Scalability
2,400,1.1,STD,425202,0.000001,378.94,A_Scalability
2,400,1.1,RB,424833,0.000001,75.81,A_Scalability
4,400,1.1,STD,426376,0.000001,190.72,A_Scalability
4,400,1.1,RB,424833,0.000001,39.20,A_Scalability
8,400,1.1,STD,428835,0.000001,96.66,A_Scalability
8,400,1.1,RB,424833,0.000001,20.97,A_Scalability
16,400,1.1,STD,433688,0.000001,49.81,A_Scalability
16,400,1.1,RB,424833,0.000001,11.93,A_Scalability
32,400,1.1,STD,442139,0.000001,27.21,A_Scalability
32,400,1.1,RB,423630,0.000001,7.45,A_Scalability
64,400,1.1,STD,461916,0.000001,16.79,A_Scalability
64,400,1.1,RB,424516,0.000001,5.94,A_Scalability
72,400,1.1,STD,462194,0.000001,15.21,A_Scalability
72,400,1.1,RB,419861,0.000001,5.58,A_Scalability
1,250,1.1,STD,166352,0.000001,114.36,B_Stability
1,250,1.1,RB,166355,0.000001,22.48,B_Stability
2,250,1.1,STD,166586,0.000001,57.44,B_Stability
2,250,1.1,RB,166355,0.000001,11.69,B_Stability
4,250,1.1,STD,167268,0.000001,29.39,B_Stability
4,250,1.1,RB,166302,0.000001,6.37,B_Stability
8,250,1.1,STD,168873,0.000001,15.31,B_Stability
8,250,1.1,RB,166383,0.000001,3.64,B_Stability
16,250,1.1,STD,171278,0.000001,8.09,B_Stability
16,250,1.1,RB,165721,0.000001,2.29,B_Stability
32,250,1.1,STD,177735,0.000001,4.56,B_Stability
32,250,1.1,RB,166059,0.000001,1.62,B_Stability
64,250,1.1,STD,189025,0.000001,3.19,B_Stability
64,250,1.1,RB,165400,0.000001,1.77,B_Stability
72,250,1.1,STD,190416,0.000001,3.02,B_Stability
72,250,1.1,RB,164079,0.000001,1.60,B_Stability
1,250,1.5,STD,70937,0.000001,48.76,B_Stability
1,250,1.5,RB,70940,0.000001,9.57,B_Stability
2,250,1.5,STD,71186,0.000001,24.55,B_Stability
2,250,1.5,RB,70940,0.000001,5.00,B_Stability
4,250,1.5,STD,71931,0.000001,12.64,B_Stability
4,250,1.5,RB,70920,0.000001,2.72,B_Stability
8,250,1.5,STD,73544,0.000001,6.68,B_Stability
8,250,1.5,RB,70953,0.000001,1.56,B_Stability
16,250,1.5,STD,76454,0.000001,9.07,B_Stability
16,250,1.5,RB,70688,0.000001,0.99,B_Stability
32,250,1.5,STD,82928,0.000001,2.14,B_Stability
32,250,1.5,RB,70836,0.000001,0.70,B_Stability
64,250,1.5,STD,94959,0.000001,1.67,B_Stability
64,250,1.5,RB,70553,0.000001,0.90,B_Stability
72,250,1.5,STD,97266,0.000001,1.65,B_Stability
72,250,1.5,RB,70014,0.000001,0.87,B_Stability
1,250,1.8,STD,25741,0.000001,17.69,B_Stability
1,250,1.8,RB,25741,0.000001,3.47,B_Stability
2,250,1.8,STD,26020,0.000001,8.98,B_Stability
2,250,1.8,RB,25741,0.000001,1.82,B_Stability
4,250,1.8,STD,26829,0.000001,4.72,B_Stability
