Ranks,DomainSize,Omega,SolverType,Iterations,Convergence,Walltime,TestTag
1,100,1.1,STD,26867,0.000001,2.82,A_Scalability
1,100,1.1,RB,26867,0.000001,2.82,A_Scalability
2,100,1.1,STD,26963,0.000001,1.46,A_Scalability
2,100,1.1,RB,26963,0.000001,1.46,A_Scalability
4,100,1.1,STD,27256,0.000001,0.79,A_Scalability
4,100,1.1,RB,27256,0.000001,0.79,A_Scalability
8,100,1.1,STD,27808,0.000001,0.47,A_Scalability
8,100,1.1,RB,27808,0.000001,0.47,A_Scalability
16,100,1.1,STD,29037,0.000001,0.31,A_Scalability
16,100,1.1,RB,29037,0.000001,0.31,A_Scalability
32,100,1.1,STD,31529,0.000001,0.26,A_Scalability
32,100,1.1,RB,31529,0.000001,0.26,A_Scalability
64,100,1.1,STD,35918,0.000001,0.36,A_Scalability
64,100,1.1,RB,35918,0.000001,0.36,A_Scalability
72,100,1.1,STD,37162,0.000001,0.46,A_Scalability
72,100,1.1,RB,37162,0.000001,0.48,A_Scalability
1,200,1.1,STD,106635,0.000001,46.58,A_Scalability
1,200,1.1,RB,106635,0.000001,46.57,A_Scalability
2,200,1.1,STD,106823,0.000001,23.48,A_Scalability
2,200,1.1,RB,106823,0.000001,23.49,A_Scalability
4,200,1.1,STD,107411,0.000001,12.01,A_Scalability
4,200,1.1,RB,107411,0.000001,12.01,A_Scalability
8,200,1.1,STD,108639,0.000001,6.27,A_Scalability
8,200,1.1,RB,108639,0.000001,6.27,A_Scalability
16,200,1.1,STD,110777,0.000001,3.52,A_Scalability
16,200,1.1,RB,110777,0.000001,3.52,A_Scalability
32,200,1.1,STD,115710,0.000001,2.18,A_Scalability
32,200,1.1,RB,115710,0.000001,2.17,A_Scalability
64,200,1.1,STD,125675,0.000001,1.80,A_Scalability
64,200,1.1,RB,125675,0.000001,1.82,A_Scalability
72,200,1.1,STD,126516,0.000001,1.58,A_Scalability
72,200,1.1,RB,126516,0.000001,1.60,A_Scalability
1,300,1.1,STD,239289,0.000001,238.19,A_Scalability
1,300,1.1,RB,239289,0.000001,238.14,A_Scalability
2,300,1.1,STD,239570,0.000001,119.42,A_Scalability
2,300,1.1,RB,239570,0.000001,119.44,A_Scalability
4,300,1.1,STD,240451,0.000001,60.46,A_Scalability
4,300,1.1,RB,240451,0.000001,60.48,A_Scalability
8,300,1.1,STD,242151,0.000001,31.33,A_Scalability
8,300,1.1,RB,242151,0.000001,31.35,A_Scalability
16,300,1.1,STD,245800,0.000001,16.42,A_Scalability
16,300,1.1,RB,245800,0.000001,16.45,A_Scalability
32,300,1.1,STD,252326,0.000001,9.32,A_Scalability
32,300,1.1,RB,252326,0.000001,9.33,A_Scalability
64,300,1.1,STD,263647,0.000001,5.92,A_Scalability
64,300,1.1,RB,263647,0.000001,5.95,A_Scalability
72,300,1.1,STD,271531,0.000001,5.91,A_Scalability
